 i       X     FEXACT   FI_UPWIND   ERR_UP
 468   0.29268   0.96425   0.04908   0.91518
 469   0.29331   0.96320   0.04561   0.91759
 470   0.29393   0.96215   0.04214   0.92002
 471   0.29456   0.96107   0.03867   0.92240
 472   0.29518   0.95998   0.03520   0.92478
 473   0.29581   0.95888   0.03173   0.92715
 474   0.29644   0.95774   0.02825   0.92949
 475   0.29706   0.95661   0.02478   0.93183
 476   0.29769   0.95545   0.02131   0.93414
 477   0.29831   0.95429   0.01784   0.93646
 478   0.29894   0.95312   0.01436   0.93875
 479   0.29956   0.95191   0.01089   0.94102
 480   0.30019   0.95070   0.00741   0.94329
 481   0.30081   0.94947   0.00394   0.94553
 482   0.30144   0.94823   0.00047   0.94777
 483   0.30206   0.94698  -0.00301   0.94999
 484   0.30269   0.94570  -0.00648   0.95218
 485   0.30331   0.94443  -0.00996   0.95438
 486   0.30394   0.94311  -0.01343   0.95654
 487   0.30457   0.94181  -0.01690   0.95871
 488   0.30519   0.94049  -0.02038   0.96086
 489   0.30582   0.93913  -0.02385   0.96298
 490   0.30644   0.93778  -0.02732   0.96510
 491   0.30707   0.93640  -0.03079   0.96719
 492   0.30769   0.93502  -0.03426   0.96928
 493   0.30832   0.93363  -0.03774   0.97136
 494   0.30894   0.93220  -0.04121   0.97340
 495   0.30957   0.93078  -0.04468   0.97545
 496   0.31019   0.92932  -0.04814   0.97747
 497   0.31082   0.92787  -0.05161   0.97948
 498   0.31144   0.92641  -0.05508   0.98149
 499   0.31207   0.92491  -0.05855   0.98345
 500   0.31270   0.92341  -0.06201   0.98543
 501   0.31332   0.92188  -0.06548   0.98736
 502   0.31395   0.92036  -0.06894   0.98931
 503   0.31457   0.91883  -0.07240   0.99123
 504   0.31520   0.91726  -0.07587   0.99312
 505   0.31582   0.91572  -0.07933   0.99504
 506   0.31645   0.91412  -0.08279   0.99690
 507   0.31707   0.91253  -0.08624   0.99877
 508   0.31770   0.91090  -0.08970   1.00060
 509   0.31832   0.90928  -0.09316   1.00243
 510   0.31895   0.90764  -0.09661   1.00425
 511   0.31957   0.90597  -0.10006   1.00603
 512   0.32020   0.90431  -0.10351   1.00782
 513   0.32083   0.90261  -0.10696   1.00957
 514   0.32145   0.90092  -0.11041   1.01133
 515   0.32208   0.89922  -0.11386   1.01308
 516   0.32270   0.89748  -0.11730   1.01478
 517   0.32333   0.89575  -0.12074   1.01649
 518   0.32395   0.89398  -0.12418   1.01816
 519   0.32458   0.89222  -0.12762   1.01984
 520   0.32520   0.89042  -0.13106   1.02148
 521   0.32583   0.88864  -0.13449   1.02313
 522   0.32645   0.88684  -0.13792   1.02476
